\name,namespace,node_name_list,node_num,init_replicas,target_replicas,delta_replicas,scaling_t,is_wait_until_no_unavailable,cpu_limit,mem_limit,cpu_requests,mem_requests
nginx,default,['k8s02'],1,0,1,1,1.5691123008728027,False,0.1,64,0.1,64
nginx,default,['k8s02'],1,0,1,1,2.693225622177124,False,0.1,64,0.1,64
nginx,default,['k8s02'],1,0,1,1,2.3756113052368164,False,0.1,64,0.1,64
nginx,default,['k8s02'],1,0,1,1,1.5804741382598877,False,0.1,64,0.1,64
nginx,default,['k8s02'],1,0,1,1,1.4795384407043457,False,0.1,64,0.1,64
nginx,default,['k8s02'],1,0,1,1,2.589306116104126,False,0.1,64,0.1,64
nginx,default,['k8s02'],1,0,1,1,2.5746066570281982,False,0.1,64,0.1,64
nginx,default,['k8s02'],1,0,1,1,2.5876080989837646,False,0.1,64,0.1,64
nginx,default,['k8s02'],1,0,1,1,2.492828845977783,False,0.1,64,0.1,64
nginx,default,['k8s02'],1,0,1,1,2.2544634342193604,False,0.1,64,0.1,64
nginx,default,['k8s02'],1,0,1,1,2.2476229667663574,False,0.1,64,0.1,64
nginx,default,['k8s02'],1,0,1,1,2.1297998428344727,False,0.1,64,0.1,64
nginx,default,['k8s02'],1,0,1,1,2.141162633895874,False,0.1,64,0.1,64
nginx,default,['k8s02'],1,0,1,1,2.1216790676116943,False,0.1,64,0.1,64
nginx,default,['k8s02'],1,0,1,1,2.3427388668060303,False,0.1,64,0.1,64
nginx,default,['k8s02'],1,0,1,1,2.0152716636657715,False,0.1,64,0.1,64
nginx,default,['k8s02'],1,0,1,1,2.271320343017578,False,0.1,64,0.1,64
nginx,default,['k8s02'],1,0,1,1,2.235870361328125,False,0.1,64,0.1,64
nginx,default,['k8s02'],1,0,1,1,2.010512590408325,False,0.1,64,0.1,64
nginx,default,['k8s02'],1,0,1,1,2.236027717590332,False,0.1,64,0.1,64
nginx,default,['k8s02'],1,0,2,2,2.38141131401062,False,0.1,64,0.1,64
nginx,default,['k8s02'],1,0,2,2,2.2756741046905518,False,0.1,64,0.1,64
nginx,default,['k8s02'],1,0,2,2,2.2476003170013428,False,0.1,64,0.1,64
nginx,default,['k8s02'],1,0,2,2,2.2588016986846924,False,0.1,64,0.1,64
nginx,default,['k8s02'],1,0,2,2,2.118314027786255,False,0.1,64,0.1,64
nginx,default,['k8s02'],1,0,2,2,2.247675657272339,False,0.1,64,0.1,64
nginx,default,['k8s02'],1,0,2,2,2.271446704864502,False,0.1,64,0.1,64
nginx,default,['k8s02'],1,0,2,2,2.3611671924591064,False,0.1,64,0.1,64
nginx,default,['k8s02'],1,0,2,2,2.4879374504089355,False,0.1,64,0.1,64
