{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 1, 'delta_replicas': 1, 'scaling_t': 0.16177845001220703, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 1, 'delta_replicas': 1, 'scaling_t': 2.1631875038146973, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 1, 'delta_replicas': 1, 'scaling_t': 2.104532480239868, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 2, 'delta_replicas': 2, 'scaling_t': 2.1058852672576904, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 2, 'delta_replicas': 2, 'scaling_t': 2.18066668510437, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 2, 'delta_replicas': 2, 'scaling_t': 2.170159101486206, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 4, 'delta_replicas': 4, 'scaling_t': 2.668997287750244, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 4, 'delta_replicas': 4, 'scaling_t': 2.6099069118499756, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 4, 'delta_replicas': 4, 'scaling_t': 2.6228113174438477, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 8, 'delta_replicas': 8, 'scaling_t': 30.155455350875854, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
{'name': 'busybox', 'namespace': 'default', 'node_name_list': ['k8s02'], 'node_num': 1, 'init_replicas': 0, 'target_replicas': 8, 'delta_replicas': 8, 'scaling_t': 30.145409107208252, 'cpu_limit': 0.1, 'mem_limit': 32, 'cpu_requests': 0.1, 'mem_requests': 32}
